
通知,#genre#
保持订阅,666
晚高峰会卡,666
正常现象,5908




CCTV,#genre#


CCTV1综合,http://api.mytv666.top/api/migu.php?id=CCTV1综合&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV2财经,http://api.mytv666.top/api/migu.php?id=CCTV2财经&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV3综艺,http://api.mytv666.top/api/migu.php?id=CCTV3综艺&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV4中文国际,http://api.mytv666.top/api/migu.php?id=CCTV4中文国际&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV4欧洲,http://api.mytv666.top/api/migu.php?id=CCTV4欧洲&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV4美洲,http://api.mytv666.top/api/migu.php?id=CCTV4美洲&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV5体育,http://api.mytv666.top/api/migu.php?id=CCTV5体育&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV5 体育赛事,http://api.mytv666.top/api/migu.php?id=CCTV5 体育赛事&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV6电影,http://api.mytv666.top/api/migu.php?id=CCTV6电影&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV7国防军事,http://api.mytv666.top/api/migu.php?id=CCTV7国防军事&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV8电视剧,http://api.mytv666.top/api/migu.php?id=CCTV8电视剧&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV9纪录,http://api.mytv666.top/api/migu.php?id=CCTV9纪录&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV10科教,http://api.mytv666.top/api/migu.php?id=CCTV10科教&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV11戏曲,http://api.mytv666.top/api/migu.php?id=CCTV11戏曲&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV12社会与法,http://api.mytv666.top/api/migu.php?id=CCTV12社会与法&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV13新闻,http://api.mytv666.top/api/migu.php?id=CCTV13新闻&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV14少儿,http://api.mytv666.top/api/migu.php?id=CCTV14少儿&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV15音乐,http://api.mytv666.top/api/migu.php?id=CCTV15音乐&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV-16奥利匹克,http://api.mytv666.top/api/migu.php?id=CCTV-16奥利匹克&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CCTV17农业农村,http://api.mytv666.top/api/migu.php?id=CCTV17农业农村&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CETV1,http://api.mytv666.top/api/migu.php?id=CETV1&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CETV2,http://api.mytv666.top/api/migu.php?id=CETV2&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CETV4,http://api.mytv666.top/api/migu.php?id=CETV4&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CGTN外语记录,http://api.mytv666.top/api/migu.php?id=CGTN外语记录&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CGTN阿拉伯语,http://api.mytv666.top/api/migu.php?id=CGTN阿拉伯语&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CGTN西班牙语,http://api.mytv666.top/api/migu.php?id=CGTN西班牙语&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CGTN法语,http://api.mytv666.top/api/migu.php?id=CGTN法语&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CGTN俄语,http://api.mytv666.top/api/migu.php?id=CGTN俄语&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
老故事,http://api.mytv666.top/api/migu.php?id=老故事&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
发现之旅,http://api.mytv666.top/api/migu.php?id=发现之旅&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
中学生,http://api.mytv666.top/api/migu.php?id=中学生&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
CGTN,http://api.mytv666.top/api/migu.php?id=CGTN&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058

江苏卫视,http://api.mytv666.top/api/migu.php?id=江苏卫视&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
江西卫视,http://api.mytv666.top/api/migu.php?id=江西卫视&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
河南卫视,http://api.mytv666.top/api/migu.php?id=河南卫视&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
陕西卫视,http://api.mytv666.top/api/migu.php?id=陕西卫视&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
大湾区卫视,http://api.mytv666.top/api/migu.php?id=大湾区卫视&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
湖北卫视,http://api.mytv666.top/api/migu.php?id=湖北卫视&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
吉林卫视,http://api.mytv666.top/api/migu.php?id=吉林卫视&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
青海卫视,http://api.mytv666.top/api/migu.php?id=青海卫视&type=1&auth_key=e96b7e04954345c0309c64bbbe9a143f359ff4acdf809a8972cec2fec59d2fb4&t=1745816266&session=d55826df63101f21ed49c32db1427058
